dataset,seed,method,stage,trial_id,class_id,x,y
natops,1,umap,baseline,natops_train_n00020,3,-2.41385817527771,-0.6809309124946594
natops,1,umap,baseline,natops_train_n00036,2,14.652737617492676,-4.077391147613525
natops,1,umap,baseline,natops_train_n00027,4,-3.046454668045044,-0.3505796194076538
natops,1,umap,baseline,natops_train_n00024,0,7.3300371170043945,1.6240214109420776
natops,1,umap,baseline,natops_train_n00178,3,-3.017878293991089,0.4377768337726593
natops,1,umap,baseline,natops_train_n00124,0,13.01095962524414,-2.3869516849517822
natops,1,umap,baseline,natops_train_n00158,1,8.94909381866455,-5.3624773025512695
natops,1,umap,baseline,natops_train_n00000,3,-4.5344061851501465,4.00791072845459
natops,1,umap,baseline,natops_train_n00132,4,-2.925372362136841,4.3738932609558105
natops,1,umap,baseline,natops_train_n00170,3,-10.595781326293945,3.849799633026123
natops,1,umap,baseline,natops_train_n00130,0,7.647336483001709,2.321953773498535
natops,1,umap,baseline,natops_train_n00045,5,2.518354654312134,11.85985279083252
natops,1,umap,baseline,natops_train_n00159,2,7.112842082977295,-2.6426796913146973
natops,1,umap,baseline,natops_train_n00086,3,-2.4917404651641846,-1.1100287437438965
natops,1,umap,baseline,natops_train_n00092,0,8.715752601623535,1.351144552230835
natops,1,umap,baseline,natops_train_n00091,2,6.676244735717773,-0.8447481989860535
natops,1,umap,baseline,natops_train_n00059,4,-10.42003345489502,3.6137514114379883
natops,1,umap,baseline,natops_train_n00137,3,-4.781198501586914,6.422361850738525
natops,1,umap,baseline,natops_train_n00066,2,8.633377075195312,-5.103691101074219
natops,1,umap,baseline,natops_train_n00008,2,6.7939534187316895,-1.4313188791275024
natops,1,umap,baseline,natops_train_n00037,0,8.843098640441895,2.491307258605957
natops,1,umap,baseline,natops_train_n00032,2,9.695287704467773,-5.1329779624938965
natops,1,umap,baseline,natops_train_n00147,2,8.481746673583984,-3.50349497795105
natops,1,umap,baseline,natops_train_n00095,4,-2.504117488861084,4.298064231872559
natops,1,umap,baseline,natops_train_n00015,1,6.960634708404541,-1.9528883695602417
natops,1,umap,t2a_default,natops_train_n00051,0,7.78805685043335,1.1087262630462646
natops,1,umap,t2a_default,natops_train_n00070,2,9.353862762451172,-2.9895098209381104
natops,1,umap,t2a_default,natops_train_n00126,1,11.380807876586914,-2.8267335891723633
natops,1,umap,t2a_default,natops_train_n00164,5,2.5108461380004883,11.355996131896973
natops,1,umap,t2a_default,natops_train_n00141,0,7.82177209854126,2.675673007965088
natops,1,umap,t2a_default,natops_train_n00052,2,6.850106716156006,-2.948277473449707
natops,1,umap,t2a_default,natops_train_n00112,0,13.100807189941406,-2.250671863555908
natops,1,umap,t2a_default,natops_train_n00162,1,6.593446731567383,-3.5610172748565674
natops,1,umap,t2a_default,natops_train_n00019,5,0.16808779537677765,15.229658126831055
natops,1,umap,t2a_default,natops_train_n00049,5,-0.08121293038129807,15.148599624633789
natops,1,umap,t2a_default,natops_train_n00105,1,9.319883346557617,-3.253242254257202
natops,1,umap,t2a_default,natops_train_n00117,3,-10.36039924621582,3.9898428916931152
natops,1,umap,t2a_default,natops_train_n00157,4,-3.569112539291382,2.9150328636169434
natops,1,umap,t2a_default,natops_train_n00098,4,-3.2577250003814697,4.297357082366943
natops,1,umap,t2a_default,natops_train_n00114,4,-4.387600898742676,2.145564317703247
natops,1,umap,t2a_default,natops_train_n00138,5,0.1805405169725418,14.882530212402344
natops,1,umap,t2a_default,natops_train_n00044,0,9.598281860351562,1.9512054920196533
natops,1,umap,t2a_default,natops_train_n00043,5,-0.29171445965766907,15.026205062866211
natops,1,umap,t2a_default,natops_train_n00134,5,1.6257418394088745,16.400049209594727
natops,1,umap,t2a_default,natops_train_n00040,2,9.185993194580078,-2.9754908084869385
natops,1,umap,t2a_default,natops_train_n00125,5,1.7234033346176147,16.614450454711914
natops,1,umap,t2a_default,natops_train_n00005,4,-4.941029071807861,3.2417988777160645
natops,1,umap,t2a_default,natops_train_n00080,5,1.267969012260437,16.188838958740234
natops,1,umap,t2a_default,natops_train_n00111,3,-10.77553653717041,4.218542098999023
natops,1,umap,t2a_default,natops_train_n00072,3,-4.558022975921631,2.1321849822998047
natops,1,umap,t2a_default,natops_train_n00152,4,-2.8116543292999268,-0.23699767887592316
natops,1,umap,t2a_default,natops_train_n00123,3,-3.3594210147857666,1.0569300651550293
natops,1,umap,t2a_default,natops_train_n00110,2,14.799838066101074,-3.6778922080993652
natops,1,umap,t2a_default,natops_train_n00035,4,-3.456984281539917,2.5686182975769043
natops,1,umap,t2a_default,natops_train_n00163,3,-5.445671081542969,2.708170175552368
natops,1,umap,t2a_default,natops_train_n00161,4,-3.6748969554901123,1.8300156593322754
natops,1,umap,t2a_default,natops_train_n00116,4,-3.9523816108703613,1.4434397220611572
natops,1,umap,t2a_default,natops_train_n00028,4,-4.252856731414795,5.040131568908691
natops,1,umap,t2a_default,natops_train_n00021,2,14.009912490844727,-3.062016725540161
natops,1,umap,t2a_default,natops_train_n00113,2,8.602764129638672,-4.940688133239746
natops,1,umap,t2a_default,natops_train_n00146,5,0.7295122742652893,16.4382381439209
natops,1,umap,t2a_default,natops_train_n00104,1,13.407784461975098,-2.8248207569122314
natops,1,umap,t2a_default,natops_train_n00018,1,8.871685028076172,-5.2812676429748535
natops,1,umap,t2a_default,natops_train_n00050,3,-4.927960395812988,6.195958137512207
natops,1,umap,t2a_default,natops_train_n00033,4,-3.1272709369659424,4.030165195465088
natops,1,umap,t2a_default,natops_train_n00097,5,-0.08264777809381485,14.69160270690918
natops,1,umap,t2a_default,natops_train_n00065,5,2.594550371170044,11.853069305419922
natops,1,umap,t2a_default,natops_train_n00129,3,-4.492617607116699,5.202333450317383
natops,1,umap,t2a_default,natops_train_n00081,0,8.807774543762207,1.0852899551391602
natops,1,umap,t2a_default,natops_train_n00060,3,-3.5204570293426514,4.424046993255615
natops,1,umap,t2a_default,natops_train_n00087,4,-4.333515167236328,5.337499141693115
natops,1,umap,t2a_default,natops_train_n00071,3,-2.3611466884613037,-0.9548153877258301
natops,1,umap,t2a_default,natops_train_n00175,3,-2.8758883476257324,0.20957814157009125
natops,1,umap,t2a_default,natops_train_n00076,1,10.846749305725098,-2.555751323699951
natops,1,umap,t2a_default,natops_train_n00029,4,-10.118002891540527,4.202480792999268
natops,1,umap,t2a_default,natops_train_n00136,5,2.194739580154419,11.605716705322266
natops,1,umap,t2a_default,natops_train_n00153,4,-2.7188985347747803,-0.4858996272087097
natops,1,umap,t2a_default,natops_train_n00107,5,2.0789854526519775,11.533340454101562
natops,1,umap,t2a_default,natops_train_n00074,4,-4.579983234405518,2.497845411300659
natops,1,umap,t2a_default,natops_train_n00094,0,7.983323097229004,1.321328043937683
natops,1,umap,t2a_default,natops_train_n00106,1,6.384228706359863,-1.1050764322280884
natops,1,umap,t2a_default,natops_train_n00168,1,10.881670951843262,-3.07912540435791
natops,1,umap,t2a_default,natops_train_n00177,0,7.487133502960205,0.47327789664268494
natops,1,umap,t2a_default,natops_train_n00120,2,11.069571495056152,-2.7001760005950928
natops,1,umap,t2a_default,natops_train_n00067,0,9.231744766235352,1.441338300704956
natops,1,umap,t2a_default,natops_train_n00143,3,-5.454649925231934,3.0767436027526855
natops,1,umap,t2a_default,natops_train_n00064,0,7.6994309425354,2.594369888305664
natops,1,umap,t2a_default,natops_train_n00046,1,6.721455097198486,-1.8207786083221436
natops,1,umap,t2a_default,natops_train_n00026,2,7.468933582305908,-2.835139751434326
natops,1,umap,t2a_default,natops_train_n00127,0,8.512091636657715,1.8573617935180664
natops,1,umap,t2a_default,natops_train_n00001,2,9.68536376953125,-4.969730377197266
natops,1,umap,t2a_default,natops_train_n00073,2,10.050095558166504,-2.098834276199341
natops,1,umap,t2a_default,natops_train_n00011,0,9.418354034423828,-4.482525825500488
natops,1,umap,t2a_default,natops_train_n00139,1,7.370617866516113,1.0763072967529297
natops,1,umap,t2a_default,natops_train_n00068,1,6.313414096832275,-3.415590524673462
natops,1,umap,t2a_default,natops_train_n00145,5,1.267796277999878,17.18570899963379
natops,1,umap,t2a_default,natops_train_n00079,5,2.828570604324341,11.377975463867188
natops,1,umap,t2a_default,natops_train_n00155,1,6.602070331573486,-0.6674559712409973
natops,1,umap,t2a_default,natops_train_n00171,0,11.205818176269531,-3.2227365970611572
natops,1,umap,t2a_default,natops_train_n00121,0,8.37159252166748,1.2881996631622314
natops,1,umap,t2a_default,natops_train_n00140,0,11.564892768859863,-2.283583164215088
natops,1,umap,t2a_default,natops_train_n00173,1,14.127458572387695,-3.9234983921051025
natops,1,umap,t2a_default,natops_train_n00002,2,8.377141952514648,-3.48677659034729
natops,1,umap,t2a_default,natops_train_n00128,5,1.850662112236023,16.53524398803711
natops,1,umap,t2a_default,natops_train_n00084,1,8.403097152709961,-4.239170551300049
natops,1,umap,t2a_default,natops_train_n00100,5,0.4691471755504608,15.856636047363281
natops,1,umap,t2a_default,natops_train_n00025,5,1.0397838354110718,17.320384979248047
natops,1,umap,t2a_default,natops_train_n00179,3,-3.7886061668395996,4.63927698135376
natops,1,umap,t2a_default,natops_train_n00165,3,-5.252063751220703,3.3507180213928223
natops,1,umap,t2a_default,natops_train_n00031,4,-10.493453979492188,3.5341548919677734
natops,1,umap,t2a_default,natops_train_n00099,4,-3.1820085048675537,1.1936781406402588
natops,1,umap,t2a_default,natops_train_n00054,1,14.349458694458008,-3.69492769241333
natops,1,umap,t2a_default,natops_train_n00144,0,9.19078540802002,1.2636569738388062
natops,1,umap,t2a_default,natops_train_n00174,3,-4.319598197937012,4.919416427612305
natops,1,umap,t2a_default,natops_train_n00053,2,14.290533065795898,-3.3797402381896973
natops,1,umap,t2a_default,natops_train_n00119,5,0.279895156621933,15.60006046295166
natops,1,umap,t2a_default,natops_train_n00133,5,0.5343741178512573,16.685468673706055
natops,1,umap,t2a_default,natops_train_n00115,4,-4.271973609924316,2.3333003520965576
natops,1,umap,t2a_default,natops_train_n00172,5,2.9735052585601807,11.572771072387695
natops,1,umap,t2a_default,natops_train_n00101,3,-4.653944969177246,6.224221706390381
natops,1,umap,t2a_default,natops_train_n00022,4,-2.6932077407836914,4.379322528839111
natops,1,umap,t2a_default,natops_train_n00062,1,6.442638397216797,-2.8623902797698975
natops,1,umap,t2a_default,natops_train_n00082,1,8.29454231262207,-3.7355105876922607
natops,1,umap,t2a_default,natops_train_n00102,1,10.399785041809082,-3.2883048057556152
natops,1,umap,t2a_default,natops_train_n00142,0,8.718732833862305,2.3365511894226074
natops,1,umap,t2a_default,natops_train_n00135,0,8.665907859802246,2.797912836074829
natops,1,umap,t2a_default,natops_train_n00085,1,13.659722328186035,-3.5280439853668213
natops,1,umap,t2a_default,natops_train_n00003,3,-4.815531253814697,3.5340588092803955
natops,1,umap,t2a_default,natops_train_n00077,2,10.082855224609375,-5.118263244628906
natops,1,umap,t2a_default,natops_train_n00055,0,7.312973499298096,0.020979758352041245
natops,1,umap,t2a_default,natops_train_n00007,5,0.9776817560195923,17.213241577148438
natops,1,umap,t2a_default,natops_train_n00023,3,-10.124648094177246,4.356626033782959
natops,1,umap,t2a_default,natops_train_n00118,2,10.184402465820312,-2.09436297416687
natops,1,umap,t2a_default,natops_train_n00014,2,14.201468467712402,-3.274803400039673
natops,1,umap,t2a_default,natops_train_n00058,1,6.823780059814453,-0.44579535722732544
natops,1,umap,t2a_default,natops_train_n00020,3,-2.403032064437866,-0.7096492648124695
natops,1,umap,t2a_default,natops_train_n00036,2,14.663944244384766,-4.035059452056885
natops,1,umap,t2a_default,natops_train_n00027,4,-3.0685064792633057,-0.39299294352531433
natops,1,umap,t2a_default,natops_train_n00024,0,7.327715873718262,1.5921123027801514
natops,1,umap,t2a_default,natops_train_n00178,3,-2.9710261821746826,0.3893113434314728
natops,1,umap,t2a_default,natops_train_n00124,0,13.062606811523438,-2.4029533863067627
natops,1,umap,t2a_default,natops_train_n00158,1,8.914688110351562,-5.323751926422119
natops,1,umap,t2a_default,natops_train_n00000,3,-4.519283771514893,4.048476696014404
natops,1,umap,t2a_default,natops_train_n00132,4,-2.9941773414611816,4.337311267852783
natops,1,umap,t2a_default,natops_train_n00170,3,-10.53081226348877,3.7979090213775635
natops,1,umap,t2a_default,natops_train_n00130,0,7.638791084289551,2.3589422702789307
natops,1,umap,t2a_default,natops_train_n00045,5,2.505042791366577,11.905221939086914
natops,1,umap,t2a_default,natops_train_n00159,2,7.075728416442871,-2.677147388458252
natops,1,umap,t2a_default,natops_train_n00086,3,-2.5074541568756104,-1.0589079856872559
natops,1,umap,t2a_default,natops_train_n00092,0,8.741850852966309,1.3466991186141968
natops,1,umap,t2a_default,natops_train_n00091,2,6.617570877075195,-0.8749462366104126
natops,1,umap,t2a_default,natops_train_n00059,4,-10.364213943481445,3.637917995452881
natops,1,umap,t2a_default,natops_train_n00137,3,-4.787622451782227,6.370306491851807
natops,1,umap,t2a_default,natops_train_n00066,2,8.643965721130371,-5.106886863708496
natops,1,umap,t2a_default,natops_train_n00008,2,6.770463466644287,-1.394799828529358
natops,1,umap,t2a_default,natops_train_n00037,0,8.819994926452637,2.4928627014160156
natops,1,umap,t2a_default,natops_train_n00032,2,9.746026992797852,-5.180398941040039
natops,1,umap,t2a_default,natops_train_n00147,2,8.467328071594238,-3.533116340637207
natops,1,umap,t2a_default,natops_train_n00095,4,-2.47709321975708,4.250015735626221
natops,1,umap,t2a_default,natops_train_n00015,1,6.986847400665283,-1.9736543893814087
natops,1,umap,t2b_saliency,natops_train_n00051,0,7.797370910644531,1.1596451997756958
natops,1,umap,t2b_saliency,natops_train_n00070,2,9.351898193359375,-3.0036799907684326
natops,1,umap,t2b_saliency,natops_train_n00126,1,11.326250076293945,-2.8363592624664307
natops,1,umap,t2b_saliency,natops_train_n00164,5,2.4835317134857178,11.308469772338867
natops,1,umap,t2b_saliency,natops_train_n00141,0,7.870059490203857,2.7208211421966553
natops,1,umap,t2b_saliency,natops_train_n00052,2,6.854940414428711,-2.9927077293395996
natops,1,umap,t2b_saliency,natops_train_n00112,0,13.05316162109375,-2.2794456481933594
natops,1,umap,t2b_saliency,natops_train_n00162,1,6.579937934875488,-3.5762736797332764
natops,1,umap,t2b_saliency,natops_train_n00019,5,0.1893898844718933,15.178635597229004
natops,1,umap,t2b_saliency,natops_train_n00049,5,-0.08449981361627579,15.102099418640137
natops,1,umap,t2b_saliency,natops_train_n00105,1,9.27051830291748,-3.2241017818450928
natops,1,umap,t2b_saliency,natops_train_n00117,3,-10.428942680358887,4.000924110412598
natops,1,umap,t2b_saliency,natops_train_n00157,4,-3.564260482788086,2.927126407623291
natops,1,umap,t2b_saliency,natops_train_n00098,4,-3.2203173637390137,4.189812183380127
natops,1,umap,t2b_saliency,natops_train_n00114,4,-4.311726093292236,2.1843667030334473
natops,1,umap,t2b_saliency,natops_train_n00138,5,0.14393988251686096,14.865923881530762
natops,1,umap,t2b_saliency,natops_train_n00044,0,9.569841384887695,1.9909322261810303
natops,1,umap,t2b_saliency,natops_train_n00043,5,-0.2699970006942749,15.013315200805664
natops,1,umap,t2b_saliency,natops_train_n00134,5,1.6381022930145264,16.380393981933594
natops,1,umap,t2b_saliency,natops_train_n00040,2,9.233152389526367,-2.9500300884246826
natops,1,umap,t2b_saliency,natops_train_n00125,5,1.7116615772247314,16.631397247314453
natops,1,umap,t2b_saliency,natops_train_n00005,4,-4.971194744110107,3.2446837425231934
natops,1,umap,t2b_saliency,natops_train_n00080,5,1.3098018169403076,16.21856117248535
natops,1,umap,t2b_saliency,natops_train_n00111,3,-10.759437561035156,4.178518772125244
natops,1,umap,t2b_saliency,natops_train_n00072,3,-4.595548629760742,2.1008522510528564
natops,1,umap,t2b_saliency,natops_train_n00152,4,-2.803880453109741,-0.2704288959503174
natops,1,umap,t2b_saliency,natops_train_n00123,3,-3.3718552589416504,1.035667896270752
natops,1,umap,t2b_saliency,natops_train_n00110,2,14.8219575881958,-3.6595473289489746
natops,1,umap,t2b_saliency,natops_train_n00035,4,-3.4397425651550293,2.539344310760498
natops,1,umap,t2b_saliency,natops_train_n00163,3,-5.4600443840026855,2.673003673553467
natops,1,umap,t2b_saliency,natops_train_n00161,4,-3.686561107635498,1.824377179145813
natops,1,umap,t2b_saliency,natops_train_n00116,4,-3.958540678024292,1.4529333114624023
natops,1,umap,t2b_saliency,natops_train_n00028,4,-4.277544021606445,5.011642932891846
natops,1,umap,t2b_saliency,natops_train_n00021,2,14.048701286315918,-3.0606987476348877
natops,1,umap,t2b_saliency,natops_train_n00113,2,8.575295448303223,-4.9296770095825195
natops,1,umap,t2b_saliency,natops_train_n00146,5,0.7399407029151917,16.40869903564453
natops,1,umap,t2b_saliency,natops_train_n00104,1,13.421218872070312,-2.8577969074249268
natops,1,umap,t2b_saliency,natops_train_n00018,1,8.842428207397461,-5.273147106170654
natops,1,umap,t2b_saliency,natops_train_n00050,3,-4.962740421295166,6.2032856941223145
natops,1,umap,t2b_saliency,natops_train_n00033,4,-3.114295482635498,4.085317134857178
natops,1,umap,t2b_saliency,natops_train_n00097,5,-0.090629443526268,14.740283966064453
natops,1,umap,t2b_saliency,natops_train_n00065,5,2.5853798389434814,11.90215015411377
natops,1,umap,t2b_saliency,natops_train_n00129,3,-4.499910354614258,5.2204060554504395
natops,1,umap,t2b_saliency,natops_train_n00081,0,8.863476753234863,1.1180884838104248
natops,1,umap,t2b_saliency,natops_train_n00060,3,-3.537998914718628,4.4578537940979
natops,1,umap,t2b_saliency,natops_train_n00087,4,-4.2762603759765625,5.356990814208984
natops,1,umap,t2b_saliency,natops_train_n00071,3,-2.355807304382324,-0.9825279712677002
natops,1,umap,t2b_saliency,natops_train_n00175,3,-2.8736982345581055,0.2158283293247223
natops,1,umap,t2b_saliency,natops_train_n00076,1,10.934561729431152,-2.603747844696045
natops,1,umap,t2b_saliency,natops_train_n00029,4,-10.039497375488281,4.175222396850586
natops,1,umap,t2b_saliency,natops_train_n00136,5,2.1988158226013184,11.551058769226074
natops,1,umap,t2b_saliency,natops_train_n00153,4,-2.803070306777954,-0.43377527594566345
natops,1,umap,t2b_saliency,natops_train_n00107,5,2.044931411743164,11.53791332244873
natops,1,umap,t2b_saliency,natops_train_n00074,4,-4.4797258377075195,2.5244128704071045
natops,1,umap,t2b_saliency,natops_train_n00094,0,8.031328201293945,1.3214925527572632
natops,1,umap,t2b_saliency,natops_train_n00106,1,6.357219696044922,-1.1200804710388184
natops,1,umap,t2b_saliency,natops_train_n00168,1,10.89407730102539,-3.084907293319702
natops,1,umap,t2b_saliency,natops_train_n00177,0,7.466094970703125,0.5044412016868591
natops,1,umap,t2b_saliency,natops_train_n00120,2,11.128840446472168,-2.7452287673950195
natops,1,umap,t2b_saliency,natops_train_n00067,0,9.267438888549805,1.4742488861083984
natops,1,umap,t2b_saliency,natops_train_n00143,3,-5.457180023193359,3.0594139099121094
natops,1,umap,t2b_saliency,natops_train_n00064,0,7.700541973114014,2.601128101348877
